Competition,Opponent,Team,Player,Event,EventID,Mins,Secs,X,Y,X2,Y2
BPL Semi Pro 2022,Alkanara,Expose,Roni Pogba,Touch,1,10,5,74,84,-,-
BPL Semi Pro 2023,Alkanara,Expose,Roni Pogba,Touch,2,10,11,64,80,-,-
BPL Semi Pro 2024,Alkanara,Expose,Budi Hudini,Touch,3,10,13,73,77,-,-
BPL Semi Pro 2025,Alkanara,Expose,Anggara,Pass,4,10,44,67,71,88,18
BPL Semi Pro 2026,Alkanara,Expose,Surya,Pass,5,10,44,88,17,90,52
BPL Semi Pro 2027,Alkanara,Expose,M Ibrahim,Touch,6,10,44,88,48,-,-
BPL Semi Pro 2028,Alkanara,Expose,Agil P,Pass,7,11,23,22,70,25,51
BPL Semi Pro 2029,Alkanara,Expose,Surya,Pass,8,11,28,30,69,89,69
BPL Semi Pro 2030,Alkanara,Expose,M Ibrahim,Touch,9,11,51,68,38,-,-
BPL Semi Pro 2031,Alkanara,Expose,Roni Pogba,Touch,10,11,57,65,35,-,-
BPL Semi Pro 2032,Alkanara,Expose,Agil P,Pass,11,12,7,24,28,25,69
BPL Semi Pro 2033,Alkanara,Expose,Andri V,Pass,12,12,13,23,69,51,54
BPL Semi Pro 2034,Alkanara,Expose,Roni Pogba,Touch,13,12,17,51,51,-,-
BPL Semi Pro 2035,Alkanara,Expose,Cece,Pass,14,13,1,28,75,29,54
BPL Semi Pro 2036,Alkanara,Expose,Roni Pogba,Pass,15,13,2,30,62,33,86
BPL Semi Pro 2037,Alkanara,Expose,Cece,Pass,16,13,6,37,89,69,39
BPL Semi Pro 2038,Alkanara,Expose,Agil P,Pass,17,13,40,24,56,38,52
BPL Semi Pro 2039,Alkanara,Expose,Surya,Pass,18,13,43,36,62,40,35
BPL Semi Pro 2040,Alkanara,Expose,Anggara,Pass,19,13,46,44,51,24,68
BPL Semi Pro 2041,Alkanara,Expose,Andri V,Pass,20,13,50,26,75,56,71
BPL Semi Pro 2042,Alkanara,Expose,Roni Pogba,Pass,21,13,52,57,63,68,91
BPL Semi Pro 2043,Alkanara,Expose,Andri V,Pass,22,13,56,27,82,20,56
BPL Semi Pro 2044,Alkanara,Expose,Agil P,Pass,23,13,59,21,57,27,82
BPL Semi Pro 2045,Alkanara,Expose,Andri V,Pass,24,14,1,24,75,36,91
BPL Semi Pro 2046,Alkanara,Expose,Anggara,Pass,25,14,5,36,90,73,31
BPL Semi Pro 2047,Alkanara,Expose,Jiban,Pass,26,14,10,79,31,56,26
BPL Semi Pro 2048,Alkanara,Expose,Kevin,Pass,27,14,13,54,26,59,45
BPL Semi Pro 2049,Alkanara,Expose,Surya,Pass,28,14,17,55,43,78,17
BPL Semi Pro 2050,Alkanara,Expose,Kevin,Touch,29,14,18,58,31,-,-
BPL Semi Pro 2051,Alkanara,Expose,Budi Hudini,Touch,30,14,19,77,53,-,-
BPL Semi Pro 2052,Alkanara,Expose,Agil P,Pass,31,15,34,37,48,47,76
BPL Semi Pro 2053,Alkanara,Expose,Cece,Pass,32,15,40,50,77,76,52
BPL Semi Pro 2054,Alkanara,Expose,Kevin,Pass,33,16,12,21,18,45,43
BPL Semi Pro 2055,Alkanara,Expose,Kevin,Pass,34,16,47,28,18,34,15
BPL Semi Pro 2056,Alkanara,Expose,Anggara,Pass,35,16,54,34,19,83,16
BPL Semi Pro 2057,Alkanara,Expose,Jiban,Touch,36,16,58,97,12,-,-
BPL Semi Pro 2058,Alkanara,Expose,Kevin,Pass,37,17,8,44,10,43,31
BPL Semi Pro 2059,Alkanara,Expose,Surya,Touch,38,17,10,46,26,-,-
BPL Semi Pro 2060,Alkanara,Expose,Rizki M,Pass,39,17,22,2,34,6,40
BPL Semi Pro 2061,Alkanara,Expose,Agil P,Pass,40,17,24,8,41,20,34
BPL Semi Pro 2062,Alkanara,Expose,Surya,Pass,41,17,29,26,32,47,29
BPL Semi Pro 2063,Alkanara,Expose,Jiban,Pass,42,17,31,46,26,26,15
BPL Semi Pro 2064,Alkanara,Expose,Kevin,Pass,43,17,36,25,23,44,49
BPL Semi Pro 2065,Alkanara,Expose,Roni Pogba,Pass,44,17,38,49,48,64,70
BPL Semi Pro 2066,Alkanara,Expose,Cece,Touch,45,17,49,72,77,-,-
BPL Semi Pro 2067,Alkanara,Expose,Budi Hudini,Touch,46,17,49,97,65,-,-
BPL Semi Pro 2068,Alkanara,Expose,Jiban,Touch,47,18,30,77,32,-,-
